Plant,Inoculation,Weight,Bucket,PlantWeight,PlantWeightgrams,Fruit Count,TomatoCombinedWeight,WeightTomatoBucketonly,TomatoWeight,TomatoWeightgrams
A1,N,3.6,1.15,2.45,2450,30,3.75,0.3,3.45,3450
B1,N,2.55,1.15,1.4,1400,28,1.55,0.3,1.25,1250
B2,N,5,1.15,3.85,3850,72,5.3,0.3,5,5000
A2,N,2.6,1.15,1.45,1450,29,1.55,0.3,1.25,1250
A3,N,4.85,1.15,3.7,3700,44,3.15,0.3,2.85,2850
B3,N,2.7,1.15,1.55,1550,14,1.1,0.3,0.8,800
B4,N,4,1.15,2.85,2850,47,3.2,0.3,2.9,2900
A4,N,2.55,1.15,1.4,1400,21,1.25,0.3,0.95,950
A5,N,2.85,1.15,1.7,1700,22,2.05,0.3,1.75,1750
B5,N,2.85,1.15,1.7,1700,29,1.6,0.3,1.3,1300
A6,N,2.95,1.15,1.8,1800,48,2.2,0.3,1.9,1900
B6,N,4.25,1.15,3.1,3100,68,4.05,0.3,3.75,3750
B7,N,2.6,1.15,1.45,1450,15,1.1,0.3,0.8,800
A7,N,3,1.15,1.85,1850,28,2.65,0.3,2.35,2350
A8,N,2.95,1.15,1.8,1800,30,1.95,0.3,1.65,1650
B8,N,4.2,1.15,3.05,3050,61,3.5,0.3,3.2,3200
C1,Y,3.65,1.15,2.5,2500,29,2.3,0.3,2,2000
D1,Y,2.7,1.15,1.55,1550,10,0.8,0.3,0.5,500
C2,Y,2.4,1.15,1.25,1250,13,1.2,0.3,0.9,900
D2,Y,3.25,1.15,2.1,2100,19,1.8,0.3,1.5,1500
C3,Y,3.35,1.15,2.2,2200,25,2.25,0.3,1.95,1950
D3,Y,2.55,1.15,1.4,1400,14,0.9,0.3,0.6,600
C4,Y,2.55,1.15,1.4,1400,8,0.75,0.3,0.45,450
D4,Y,3.75,1.15,2.6,2600,32,2.7,0.3,2.4,2400
D5,Y,2.85,1.15,1.7,1700,17,0.95,0.3,0.65,650
C5,Y,3.6,1.15,2.45,2450,31,2.75,0.3,2.45,2450
C6,Y,2.8,1.15,1.65,1650,6,0.8,0.3,0.5,500
D6,Y,4.05,1.15,2.9,2900,43,3.35,0.3,3.05,3050
C7,Y,3,1.15,1.85,1850,17,1.5,0.3,1.2,1200
D7,Y,2.55,1.15,1.4,1400,23,1.7,0.3,1.4,1400
D8,Y,2.3,1.15,1.15,1150,28,1.45,0.3,1.15,1150
C8,Y,3.05,1.15,1.9,1900,12,1.4,0.3,1.1,1100
