Row ,Pot,Cluster ,Sucker,Subsucker,Weight ,BER?,Eaten,Mold? ,Unsure,Logged,Sugar Measurement 1 ,Sugar Measurement 2 ,SugarAverage
A,6,,,,72.2,N,N,N,N,29-Nov,9.2,9.4,9.3
A,6,,,,74.7,N,N,N,N,29-Nov,9.4,9.1,9.25
A,6,,,,72.9,N,N,N,N,29-Nov,9,9.4,9.2
B,8,2,2,,127.3,N,N,N,N,29-Nov,9.1,8.8,8.95
A,6,,,,82.9,N,N,N,N,29-Nov,9,8.9,8.95
D,5,,,,55,N,N,N,N,2-Dec,8.6,9.2,8.9
A,6,,,,63.8,N,N,N,N,29-Nov,8.7,9,8.85
A,8,,,,72.9,N,N,N,N,29-Nov,8.2,9.4,8.8
B,8,,,,39.3,N,N,N,N,29-Nov,8.7,8.7,8.7
D,5,,,,26.4,N,N,N,N,29-Nov,9.4,7.9,8.65
D,5,1,1,0,90.8,N,N,N,N,8-Nov,8.4,8.8,8.6
B,8,,,,72.8,N,N,Y,N,26-Nov,8.3,8.9,8.6
C,8,,,,68.7,N,N,N,N,30-Nov,8.6,8.4,8.5
B,1,1,2,,105.8,N,N,N,N,14-Nov,8.8,8,8.4
B,8,,,,100.5,N,N,N,N,29-Nov,8.6,8.2,8.4
D,2,1,2,0,67,N,N,N,N,8-Nov,8.6,8.2,8.4
B,8,,,,122.6,N,N,N,N,29-Nov,8.4,8.3,8.35
D,1,1,0,0,140.3,N,N,N,N,3-Nov,8.5,8,8.25
B,1,,,,109.8,N,N,N,N,2-Dec,8.5,8,8.25
A,6,2,,,112.5,N,N,N,N,14-Nov,7.9,8.5,8.2
B,5,3,,,92,N,N,N,N,8-Nov,7.7,8.3,8
D,5,,,,116.7,N,N,N,N,14-Nov,8.4,7.5,7.95
A,8,,,,83,N,N,N,N,29-Nov,7.9,7.9,7.9
D,5,,,,62.7,N,N,N,N,11-Nov,7.9,7.9,7.9
A,7,,,,108.3,N,N,N,N,29-Nov,7.7,8,7.85
D,8,,,,99.5,N,N,N,N,30-Nov,8.4,7.3,7.85
B,2,,,,77,N,N,N,N,29-Nov,7.9,7.7,7.8
